### Starting production?!

# bio1 PE   N=53  Avg= $94.39 min=11.49 max=342.57
# bio1 SEPE N=4   Avg= $82.82 min=30.45 max=135.08
# bio1      N=57  Avg= $93.58 min=11.49 max=343.57
# bio2 PE   N=47  Avg=$184.81 min=44.16 max=364.20
# bio2 SEPE N=15  Avg=$140.52 min=68.49 max=219.63
# bio2      N=62  Avg=$174.10 min=44.16 max=364.20
# all       N=119 Avg=$135.53 min=11.49 max=364.20

# TODO: 1st test: DNase ENCODE3: Assemble for GRCh38, but then run first on hg19
#Experiment     On    Reps        Assembled   Launched    Posted     Duration     Cost 
ENCSR705CNJ E3 GRCh38 1,2         2016-08-30
ENCSR746ZPP E3 GRCh38 1,2         2016-08-30
ENCSR754LIN E3 GRCh38 1           2016-08-30
ENCSR759UNY E3 GRCh38 1,2         2016-08-30
ENCSR785BDQ E3 GRCh38 1,2         2016-08-30
ENCSR814KRX E3 GRCh38 1,2         2016-08-30
ENCSR818JGZ E3 GRCh38 1,2         2016-08-30
ENCSR820WLP E3 GRCh38 1,2         2016-08-30
ENCSR845CFB E3 GRCh38 1,2         2016-08-30
ENCSR902XFY E3 GRCh38 1,2         2016-08-30
ENCSR910OQF E3 GRCh38 1,2         2016-08-30
ENCSR932KWJ E3 GRCh38 1,2         2016-08-30
ENCSR940NLN E3 GRCh38 1,2         2016-08-30
ENCSR943SYS E3 GRCh38 1,2         2016-08-30
ENCSR959ZXU E3 GRCh38 1,2         2016-08-30
ENCSR964MZQ E3 GRCh38 1,2         2016-08-30
ENCSR964WHY E3 GRCh38 1,2         2016-08-30

# Done: GRCh38 DNase ENCODE3: 2 replicates PE/SE GRCh38
#Experiment     On    Reps        Assembled   Launched    Posted      Duration     Cost 
ENCSR083STA E3 GRCh38 1_1.2,2_1.2 2016-09-14
ENCSR097BWW E3 GRCh38 1_1.2,2     2016-09-14
ENCSR269SIA E3 GRCh38 1_1.2,2     2016-09-14
ENCSR346IHH E3 GRCh38 1_1.2,2_1.2 2016-09-14
ENCSR426IEA E3 GRCh38 1,2_1.2     2016-08-30
ENCSR475VQD E3 GRCh38 1,2_1.2     2016-09-14
ENCSR515EWI E3 GRCh38 1_1.2,2_1.2 2016-09-14
ENCSR548MMD E3 GRCh38 1,2_1.2     2016-08-30
ENCSR594NOE E3 GRCh38 1,2_1.2     2016-09-14
ENCSR595CSH E3 GRCh38 1,2_1.2     2016-09-14
ENCSR706IDL E3 GRCh38 1_1.2,2     2016-09-14
ENCSR771DAX E3 GRCh38 1_1.2,2_1.2 2016-09-14
ENCSR782XFY E3 GRCh38 1,2_1.2     2016-09-14
ENCSR855FOP E3 GRCh38 1,2_1.2     2016-09-14
ENCSR937UWI E3 GRCh38 1,2_1.2     2016-09-14

# TODO: Investigate bwa failures 
# TODO: (HOLD, issues) DNase ENCODE3: Assemble for GRCh38, but then run first on hg19
#Experiment     On    Reps        Assembled   Launched    Posted
ENCSR015BGH  E3 hg19  1_1.2       2016-09-14  2016-09-22   # PE/SE # FAILED: [bwa_sai2sam_pe_core] refine gapped alignments... /usr/bin/dnase_align_bwa_pe.sh: line 56: 29384 Segmentation fault      bwa sampe $ref_id tmp_1.sai tmp_2.sai $reads1_fq_gz $reads2_fq_gz > tmp_pe.sam
ENCSR209TXI  E3 hg19  1           2016-08-30               # no barcode
ENCSR257BGZ  E3 hg19  1,2_1.2     2016-09-14  2016-09-22   # PE/SE # FAILED: [bwa_sai2sam_pe_core] refine gapped alignments... /usr/bin/dnase_align_bwa_pe.sh: line 56: 23574 Segmentation fault      bwa sampe $ref_id tmp_1.sai tmp_2.sai $reads1_fq_gz $reads2_fq_gz > tmp_pe.sam 
ENCSR474GZQ  E3 hg19  1_1.2,2_1.2 2016-09-14               # no barcode
ENCSR493VDS  E3 hg19  1_1.2       2016-09-14  2016-09-22   # PE/SE # FAILED: [bwa_sai2sam_pe_core] refine gapped alignments... /usr/bin/dnase_align_bwa_pe.sh: line 56: 10056 Segmentation fault      bwa sampe $ref_id tmp_1.sai tmp_2.sai $reads1_fq_gz $reads2_fq_gz > tmp_pe.sam
ENCSR503HIB  E3 hg19  1_1.2,2     2016-09-14               # PE/SE # requires lab review
ENCSR504WYA  E3 hg19  1           2016-08-30               # no barcode
ENCSR620WAR  E3 hg19  1_1.2,2_1.2 2016-09-14               # PE/SE # requires lab review
ENCSR621ENC  E3 hg19  1,2_1.2     2016-09-14               # no barcode
ENCSR627NIF  E3 hg19  1,2_1.2     2016-09-14  2016-09-22   # FAILED: still align took 12d3h18m  23.62968G fasqs
ENCSR657DFR  E3 hg19  1,2         2016-08-30               # no barcode
ENCSR662HMO  E3 hg19  1_1.2,2_1.2 2016-09-14               # no barcode
ENCSR901BRM  E3 hg19  1           2016-08-30  2016-09-12   # FAILED: filter_reads.py exception  Jemma tracks to bwa 0.7.3a
ENCSR979ZJS  E3 hg19  1           2016-08-30               # no barcode  6 fastqs, rep1_1:17GB

# TODO: still held
ENCSR209TXI E3 GRCh38 1           2016-08-30               # no barcode
ENCSR474GZQ E3 GRCh38 1_1.2,2_1.2 2016-09-14               # no barcode
ENCSR503HIB E3 GRCh38 1_1.2,2     2016-09-14               # PE/SE # requires lab review
ENCSR504WYA E3 GRCh38 1           2016-08-30               # no barcode
ENCSR620WAR E3 GRCh38 1_1.2,2_1.2 2016-09-14               # PE/SE # requires lab review
ENCSR621ENC E3 GRCh38 1,2_1.2     2016-09-14               # no barcode
ENCSR657DFR E3 GRCh38 1,2         2016-08-30               # no barcode
ENCSR662HMO E3 GRCh38 1_1.2,2_1.2 2016-09-14               # no barcode
ENCSR979ZJS E3 GRCh38 1           2016-08-30               # no barcode  6 fastqs, rep1_1:17GB


####### Full list hg19:
#Experiment     On    Reps        Assembled   Launched    Posted      Duration     Cost 
ENCSR017OZH  E3 hg19  1,2         2016-08-30  2016-09-07  2016-10-06  5d22h10m  $201.02
ENCSR019JDO  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  7d17h06m  $261.74
ENCSR037PGI  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  5d20h07m  $198.13
ENCSR048BUO  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    21h47m   $30.80
ENCSR052AWE  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  5d14h58m  $190.85
ENCSR064EFK  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    12h21m   $17.46
